Freelancer ID	Freelancer IBAN	Task ID	Task Description	Euro	Native Currency
FJ2	8937432	TSK5	A Test task 5	100.00	100.00
FJ1	8937431	TSK4	A Test task 4	200.00	200.00
FJ4	8937434	TSK9	A Test task 9	100.00	100.00
FJ4	8937434	TSK8	A Test task 8	100.00	100.00
FJ3	8937433	TSK7	A Test task 7	200.00	200.00
FJ3	8937433	TSK6	A Test task 6	200.00	200.00
FJ4	8937434	TSK10	A Test task 10	1.00	1.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
FJ1	8937431	TSK1	A Test task 1	100.00	100.00
